Genero;Casado;Edad;Graduado;Profesion;Experiencia laboral;Gastoscore;Family_Size;Ingresos anuales brutos;Digital_encuesta;Gasto_medio_mensual_cuota;Abandono;Dias_cliente;Campanna_anno;Cluster
M;Si;53;Si;Ejecutivo;25;Alto;4;23456;0.583;30;0;360;0.5;1
M;Si;52;No;Otros;25;Alto;5;62984;1.306;30;0;595;4.0;3
M;Si;64;Si;Servicios;25;Alto;2;84498;1.091;50;0;466;3.0;3
M;No;24;No;Funcionario;5;Bajo;3;17345;2.202;30;1;338;0.5;2
F;Si;55;Si;Artista;25;Bajo;1;119603;1.013;50;0;367;3.0;3
F;Si;44;Si;Otros;25;Bajo;2;116586;1.905;50;0;516;1.0;3
M;Si;80;No;Ejecutivo;25;Alto;2;40578;1.228;30;0;490;3.0;3
F;No;30;No;Artista;5;Bajo;1;20278;1.721;30;0;461;3.0;0
M;Si;44;Si;Artista;25;Medio;3;93551;1.905;30;0;451;3.0;3
F;Si;89;No;Servicios;25;Bajo;1;81538;1.033;120;0;465;3.0;4
M;Si;91;No;Servicios;25;Alto;3;97276;0.798;30;0;567;4.0;3
M;Si;56;Si;Medico;25;Bajo;3;55683;1.111;80;0;318;0.5;1
M;Si;46;No;Ingeniero;25;Medio;4;34418;0.642;30;0;386;3.0;3
M;Si;30;Si;Artista;5;Bajo;4;18924;0.985;30;0;534;4.0;0
F;Si;44;Si;Ingeniero;25;Medio;7;62101;0.87;30;0;402;3.0;3
M;Si;68;Si;Artista;25;Medio;9;61432;1.502;30;0;416;3.0;3
M;No;23;No;Funcionario;5;Bajo;5;18056;1.374;30;0;591;4.0;0
M;No;30;No;Funcionario;5;Bajo;3;27884;1.376;30;0;410;3.0;0
M;No;29;No;Medico;5;Bajo;1;23482;1.167;30;0;338;0.5;2
M;No;29;No;Artista;5;Bajo;4;29207;3.03;30;0;458;3.0;0
F;No;28;No;Funcionario;5;Bajo;3;21833;2.789;30;0;368;3.0;0
F;No;23;No;Funcionario;5;Bajo;4;13500;2.306;30;1;389;3.0;2
M;Si;80;Si;Servicios;25;Alto;4;94738;1.697;80;0;519;1.0;3
M;Si;44;Si;Artista;25;Bajo;2;32963;0.985;30;1;391;3.0;1
M;No;34;Si;Funcionario;15;Bajo;1;19449;0.939;30;1;363;0.5;2
F;Si;97;Si;Servicios;25;Alto;2;123295;0.74;50;0;556;4.0;4
F;No;43;No;Servicios;25;Bajo;1;122199;1.307;120;1;322;0.5;1
F;No;45;Si;Artista;25;Bajo;2;91808;1.215;50;0;342;0.5;1
F;Si;80;Si;Artista;25;Medio;2;101514;1.346;50;1;311;0.5;1
M;Si;50;Si;Artista;25;Medio;5;26576;0.955;30;0;345;0.5;1
M;Si;45;No;Otros;25;Bajo;4;107513;1.284;30;0;576;4.0;3
M;Si;83;Si;Servicios;25;Alto;2;31392;0.955;30;0;459;3.0;3
M;No;43;Si;Otros;25;Bajo;2;39086;0.709;50;0;433;3.0;3
F;Si;98;No;Servicios;25;Alto;2;97393;1.756;120;0;375;3.0;4
M;Si;47;No;Funcionario;25;Alto;2;21880;1.072;30;0;547;4.0;3
F;No;58;No;Otros;25;Bajo;1;53664;1.267;30;0;458;3.0;3
M;No;44;;Artista;25;Bajo;2;113823;1.008;120;0;523;4.0;4
M;Si;45;Si;Artista;25;Bajo;2;118011;1.537;50;1;302;0.5;1
F;Si;30;Si;Artista;5;Medio;2;24055;2.043;30;0;466;3.0;0
M;Si;50;Si;Ejecutivo;25;Bajo;5;45199;0.622;30;0;584;4.0;3
F;Si;66;No;Ingeniero;25;Alto;9;112542;1.639;30;1;323;0.5;1
M;Si;81;No;Servicios;25;Bajo;1;98352;1.482;120;0;470;3.0;4
M;Si;32;Si;Funcionario;15;Medio;2;28475;1.491;30;1;319;0.5;2
M;Si;41;Si;Otros;15;Medio;3;89926;0.801;30;1;335;0.5;1
M;Si;50;No;Otros;25;Medio;3;111676;0.74;30;0;595;4.0;3
M;No;24;No;Funcionario;5;Bajo;4;15327;1.305;30;0;361;0.5;2
F;Si;66;Si;Ingeniero;25;Bajo;1;96595;0.955;50;0;326;0.5;1
F;Si;56;Si;Artista;25;Medio;2;75310;0.74;50;0;478;3.0;3
M;No;24;No;Funcionario;5;Bajo;3;17197;0.995;30;0;422;3.0;0
M;No;39;Si;Artista;15;Bajo;1;19887;1.721;30;0;307;0.5;2
M;Si;55;Si;Otros;25;Medio;3;104056;1.072;80;1;340;0.5;1
M;Si;80;Si;Artista;25;Alto;3;106002;0.74;80;1;363;0.5;1
F;No;23;Si;Funcionario;5;Bajo;5;23140;1.961;30;0;402;3.0;0
M;No;35;Si;Otros;15;Bajo;2;27374;1.514;30;0;354;0.5;2
F;No;40;Si;Funcionario;15;Bajo;3;70570;2.02;30;0;491;1.0;0
M;No;46;Si;Otros;25;Bajo;1;25813;1.463;30;0;469;1.0;3
M;Si;39;Si;Medico;15;Bajo;1;26256;1.307;30;0;478;1.0;0
F;Si;46;Si;Funcionario;25;Medio;2;120369;1.756;50;0;418;3.0;3
F;No;36;No;Construccion;15;Bajo;1;27322;1.698;30;0;513;4.0;0
F;Si;39;No;Ingeniero;15;Alto;2;26828;0.755;30;0;541;4.0;0
M;Si;77;Si;Artista;25;Bajo;1;69204;0.7;50;0;425;3.0;3
M;Si;62;No;Ejecutivo;25;Alto;3;50191;1.678;30;0;459;3.0;3
M;Si;43;Si;Artista;25;Medio;2;38942;1.56;50;0;301;0.5;1
F;No;25;No;Funcionario;5;Bajo;3;19429;1.961;30;0;361;0.5;2
M;No;32;Si;Artista;15;Bajo;6;31593;2.066;30;1;363;0.5;2
M;Si;39;Si;Ejecutivo;15;Alto;4;27927;0.686;30;0;368;3.0;0
M;No;29;No;Funcionario;5;Bajo;3;20428;0.995;30;0;411;3.0;0
M;Si;46;No;Ejecutivo;25;Alto;5;78677;0.974;30;0;595;4.0;3
M;Si;91;Si;Ejecutivo;25;Alto;2;107759;0.681;50;0;354;0.5;1
F;No;28;No;Artista;5;Bajo;3;31580;2.996;30;1;312;0.5;2
M;No;44;Si;Otros;25;Bajo;2;32889;1.33;30;0;567;1.0;3
F;No;24;No;Funcionario;5;Bajo;4;23274;0.995;30;0;566;4.0;0
F;Si;41;Si;Artista;15;Medio;2;61340;1.399;50;0;395;3.0;3
F;Si;72;Si;Artista;25;Bajo;2;87786;1.306;50;0;506;1.0;3
F;Si;42;Si;Ingeniero;25;Bajo;2;62671;1.215;50;1;307;0.5;1
F;Si;53;No;Ingeniero;25;Medio;5;107116;1.678;30;0;420;3.0;3
M;Si;80;Si;Servicios;25;Bajo;1;129414;1.248;50;0;492;1.0;4
M;No;28;No;Otros;5;Bajo;9;18028;3.099;30;0;487;3.0;0
M;No;23;No;Medico;5;Bajo;1;19202;3.065;30;0;582;4.0;0
M;No;28;No;Ejecutivo;5;Bajo;3;18324;1.512;30;0;595;4.0;0
M;Si;53;Si;Artista;25;Alto;2;79268;0.72;50;0;408;3.0;3
M;No;31;No;Medico;5;Bajo;5;20470;1.077;30;0;579;4.0;0
M;Si;54;Si;Artista;25;Bajo;1;40387;1.287;50;1;379;3.0;1
F;Si;44;Si;Artista;25;Medio;3;58726;1.468;30;0;397;3.0;3
F;No;41;Si;Medico;15;Bajo;3;47268;0.985;30;0;371;3.0;0
F;Si;35;Si;Construccion;15;Alto;2;24241;1.008;30;0;531;4.0;0
F;No;40;Si;Artista;15;Bajo;1;35939;1.284;50;0;581;1.0;0
F;Si;97;Si;Servicios;25;Alto;2;60286;1.111;50;1;345;0.5;1
F;No;42;Si;Ingeniero;25;Bajo;1;66411;1.56;50;0;546;1.0;3
M;Si;56;Si;Otros;25;Medio;4;113828;0.935;80;1;316;0.5;1
F;Si;77;No;Artista;25;Alto;2;40347;15.215;30;1;331;0.5;1
F;No;45;Si;Artista;25;Bajo;1;56305;0.732;50;0;332;0.5;1
M;Si;75;No;Otros;25;Medio;2;97487;1.482;120;0;565;4.0;4
M;Si;31;Si;Artista;5;Bajo;2;28676;1.376;30;0;419;3.0;0
M;No;20;No;Funcionario;5;Bajo;3;19680;2.34;30;0;406;3.0;0
F;Si;46;Si;Artista;25;Medio;2;97260;1.482;50;1;361;0.5;1
F;Si;77;Si;Artista;25;Alto;2;38962;1.737;50;0;462;1.0;3
M;Si;50;Si;Artista;25;Medio;2;126515;1.052;50;0;317;0.5;1
F;No;32;Si;Funcionario;15;Bajo;4;18295;2.066;30;0;481;3.0;0
F;No;24;No;Funcionario;5;Bajo;6;16481;1.926;30;0;342;0.5;2
M;Si;43;No;Artista;25;Bajo;2;24490;1.79;30;0;560;4.0;3
F;Si;89;Si;Servicios;25;Alto;2;96536;1.111;50;0;531;4.0;3
F;Si;54;Si;Artista;25;Medio;3;83324;1.306;80;0;559;4.0;3
M;No;47;Si;Medico;25;Bajo;1;113853;1.482;50;0;548;1.0;3
M;Si;73;Si;Artista;25;Alto;2;98421;0.896;50;0;569;4.0;3
F;Si;40;Si;Artista;15;Medio;2;87553;0.847;50;0;333;0.5;1
F;No;22;No;Artista;5;Bajo;3;19566;2.685;30;0;357;0.5;2
M;Si;62;Si;Artista;25;Bajo;1;78587;0.896;50;0;386;3.0;3
F;Si;56;Si;Artista;25;Bajo;1;34802;0.857;30;0;367;3.0;3
F;No;29;Si;Artista;5;Bajo;9;23601;2.927;30;0;557;4.0;0
M;No;65;Si;Otros;25;Bajo;3;118386;1.424;80;0;537;1.0;4
F;Si;34;Si;Otros;15;Bajo;1;26526;1.008;30;0;415;3.0;0
M;Si;47;No;Ejecutivo;25;Alto;3;42204;0.935;30;0;466;3.0;3
M;Si;65;No;Ejecutivo;25;Medio;5;127094;0.974;200;1;352;0.5;4
F;No;39;Si;Ingeniero;15;Bajo;1;23032;1.813;30;1;330;0.5;2
F;No;33;Si;Funcionario;15;Bajo;6;29078;1.629;30;1;378;3.0;2
F;Si;40;No;Medico;15;Medio;2;34380;1.951;30;0;340;0.5;2
M;Si;39;Si;Ejecutivo;15;Medio;3;28916;0.824;30;0;450;3.0;0
F;Si;55;Si;Artista;25;Bajo;1;74614;1.052;50;0;361;0.5;1
M;No;30;Si;Otros;5;Bajo;2;29006;1.836;30;0;470;3.0;0
M;Si;66;Si;Negocios/empresa;25;Alto;5;95296;0.974;30;0;599;4.0;3
M;Si;57;No;Otros;25;Medio;4;31842;1.111;30;0;538;4.0;3
M;No;53;Si;Otros;25;Bajo;2;80064;0.72;50;0;305;0.5;1
M;No;35;Si;Medico;15;Bajo;3;21633;1.629;30;0;479;3.0;0
M;Si;46;Si;Ejecutivo;25;Bajo;2;119608;1.717;50;0;547;1.0;3
M;Si;68;Si;Ejecutivo;25;Alto;2;43305;1.463;50;1;303;0.5;1
M;Si;44;No;Ejecutivo;25;Bajo;4;112120;1.974;30;0;592;4.0;3
M;No;42;Si;Artista;25;Bajo;1;83218;0.939;50;0;589;4.0;3
F;Si;62;Si;Servicios;25;Medio;2;94411;1.033;50;0;434;3.0;3
F;No;35;No;Negocios/empresa;15;Bajo;4;26848;1.836;30;0;326;0.5;2
M;Si;85;No;Servicios;25;Bajo;1;81386;0.837;120;0;357;0.5;4
F;No;33;Si;Funcionario;15;Bajo;1;23946;1.192;30;0;389;3.0;0
M;No;32;Si;Medico;15;Bajo;3;25278;1.307;30;0;420;3.0;0
M;Si;79;Si;Ejecutivo;25;Alto;4;126076;0.955;80;0;364;0.5;1
F;Si;55;Si;Ingeniero;25;Bajo;2;65695;1.091;50;0;479;3.0;3
F;No;25;No;Negocios/empresa;5;Bajo;4;26985;14.085;30;0;418;3.0;0
M;Si;30;Si;Funcionario;5;Medio;2;19046;0.847;30;1;348;0.5;2
F;Si;68;Si;Artista;25;Medio;7;63737;0.935;30;1;319;0.5;1
M;Si;32;Si;Funcionario;15;Medio;2;30896;1.261;30;0;553;4.0;0
F;No;34;No;Medico;15;Bajo;2;18641;1.767;30;0;419;3.0;0
M;Si;41;No;Ingeniero;15;Medio;2;59260;1.514;30;0;484;3.0;3
M;No;31;Si;Funcionario;5;Bajo;4;18542;1.146;30;0;537;4.0;0
F;No;47;Si;Negocios/empresa;25;Bajo;1;30283;1.091;30;0;485;3.0;3
F;Si;55;Si;Otros;25;Medio;4;123996;1.15;80;0;353;0.5;1
M;No;32;No;Ingeniero;15;Bajo;5;20389;1.468;30;0;370;3.0;0
F;Si;41;Si;Artista;15;Bajo;2;45103;1.376;50;0;523;1.0;3
F;No;46;Si;Artista;25;Bajo;1;116344;0.974;50;1;348;0.5;1
M;No;24;No;Funcionario;5;Bajo;5;18942;1.995;30;0;558;4.0;0
M;Si;50;Si;Artista;25;Medio;4;41136;0.564;30;0;583;4.0;3
M;Si;56;Si;Otros;25;Bajo;3;114005;0.603;80;0;319;0.5;1
M;Si;32;Si;Artista;15;Medio;3;18062;1.169;30;0;369;3.0;0
M;Si;63;Si;Medico;25;Bajo;1;93521;1.561;50;0;447;1.0;3
F;Si;56;Si;Artista;25;Medio;6;97829;0.681;30;0;553;4.0;3
M;No;22;No;Otros;5;Bajo;2;18070;1.374;30;0;544;4.0;0
M;Si;64;Si;Artista;25;Medio;3;63815;0.661;80;1;342;0.5;1
F;Si;42;Si;Medico;25;Bajo;4;66793;0.663;30;0;454;3.0;3
M;Si;47;Si;Otros;25;Bajo;2;28422;1.443;30;0;356;0.5;1
F;No;20;No;Funcionario;5;Bajo;5;20303;2.064;30;0;381;3.0;0
M;No;35;No;Funcionario;15;Bajo;5;20915;1.422;30;0;572;4.0;0
F;Si;57;No;Ingeniero;25;Bajo;6;33946;15.215;30;0;311;0.5;2
M;Si;58;Si;Artista;25;Medio;4;51734;1.346;30;0;395;3.0;3
M;;79;;Servicios;25;Alto;1;97281;0.974;120;0;457;3.0;4
F;Si;87;Si;Servicios;25;Alto;3;106398;0.837;80;0;367;3.0;4
M;Si;52;No;Ejecutivo;25;Alto;2;23400;1.17;30;0;322;0.5;1
M;Si;39;Si;Ejecutivo;15;Medio;2;22510;1.399;30;0;570;4.0;0
F;No;20;No;Funcionario;5;Bajo;3;12226;14.775;30;0;386;3.0;0
M;No;31;Si;Artista;5;Bajo;3;30588;0.755;30;0;562;4.0;0
F;No;30;Si;Funcionario;5;Bajo;4;25879;1.79;30;0;325;0.5;2
M;Si;57;Si;Negocios/empresa;25;Alto;4;65684;1.15;80;0;409;3.0;3
F;Si;63;Si;Artista;25;Alto;3;81588;1.58;80;1;341;0.5;1
M;Si;67;Si;Ejecutivo;25;Alto;2;98112;0.876;50;0;520;4.0;3
F;Si;45;Si;Artista;25;Medio;4;60735;1.767;30;1;303;0.5;1
M;No;47;Si;Artista;25;Bajo;1;114302;1.6;50;0;530;1.0;3
F;No;56;Si;Artista;25;Bajo;1;114863;1.306;50;0;558;1.0;3
F;Si;40;Si;Otros;15;Bajo;2;73809;1.583;50;0;399;1.0;1
M;Si;42;Si;Otros;25;Bajo;2;114557;1.445;50;0;315;0.5;1
F;No;33;Si;Artista;15;Bajo;5;26918;0.916;30;0;444;3.0;0
M;No;43;Si;Negocios/empresa;25;Bajo;4;29840;1.79;30;0;429;1.0;2
F;No;51;Si;Otros;25;Bajo;2;38805;1.326;50;0;316;0.5;1
F;Si;45;Si;Otros;25;Bajo;1;26387;1.146;30;1;340;0.5;1
F;No;56;Si;Artista;25;Bajo;2;64690;11.305;50;0;417;1.0;1
M;No;29;Si;Negocios/empresa;5;Bajo;1;23948;2.34;30;0;423;3.0;0
M;No;34;No;Negocios/empresa;15;Bajo;1;25525;0.962;30;0;447;3.0;0
F;No;36;Si;Funcionario;15;Bajo;3;25348;1.307;30;0;406;1.0;2
M;Si;91;No;Servicios;25;Alto;2;78588;1.287;120;1;385;3.0;4
F;Si;77;Si;Ingeniero;25;Alto;2;48119;0.642;50;0;503;4.0;3
M;No;36;Si;Funcionario;15;Bajo;1;19969;1.997;30;0;400;1.0;2
M;Si;32;Si;Ingeniero;15;Bajo;2;25433;0.755;30;0;336;0.5;2
F;No;45;No;Negocios/empresa;25;Bajo;1;44548;1.238;30;0;318;0.5;1
M;Si;61;Si;Artista;25;Medio;2;89406;0.642;50;0;596;4.0;3
M;Si;84;Si;Servicios;25;Bajo;1;65983;0.642;50;0;314;0.5;1
F;No;25;No;Funcionario;5;Bajo;1;23417;2.789;30;0;584;4.0;0
F;Si;54;Si;Ingeniero;25;Bajo;3;59682;1.111;80;0;407;3.0;3
M;Si;65;No;Medico;25;Medio;2;96112;1.482;120;0;443;3.0;4
F;No;35;No;Funcionario;15;Bajo;5;20773;1.698;30;1;329;0.5;2
M;Si;39;Si;Artista;15;Medio;4;29266;1.974;30;1;354;0.5;2
F;Si;62;No;Servicios;25;Medio;3;105466;1.737;30;0;374;3.0;3
F;No;23;No;Funcionario;5;Bajo;3;18468;0.995;30;0;309;0.5;2
F;Si;85;No;Servicios;25;Alto;3;96616;1.737;30;0;445;3.0;3
M;Si;29;No;Ejecutivo;5;Alto;4;26277;12.705;30;0;371;3.0;0
M;Si;90;Si;Servicios;25;Bajo;1;47810;1.658;50;0;348;0.5;1
M;Si;67;No;Artista;25;Medio;2;128644;1.404;120;1;367;3.0;4
F;No;28;No;Funcionario;5;Bajo;5;18560;0.995;30;0;444;3.0;0
F;No;31;No;Funcionario;5;Bajo;4;24708;1.146;30;1;370;3.0;2
F;Si;62;Si;Artista;25;Bajo;2;129163;0.603;50;0;588;4.0;3
F;Si;95;Si;Servicios;25;Alto;2;49071;1.15;50;0;452;3.0;3
M;No;50;Si;Artista;25;Bajo;2;97869;15.215;50;0;593;1.0;3
F;No;36;No;Construccion;15;Bajo;1;28449;1.261;30;0;477;3.0;0
M;No;22;No;Funcionario;5;Bajo;4;19405;2.685;30;0;450;3.0;0
F;No;28;Si;Artista;5;Bajo;5;31063;1.926;30;1;321;0.5;2
F;Si;68;;Artista;25;Medio;3;34350;1.502;30;1;310;0.5;1
M;Si;83;No;Servicios;25;Bajo;1;25708;1.326;30;0;417;3.0;3
M;Si;42;No;Otros;25;Bajo;3;53859;1.606;30;0;541;4.0;3
F;Si;56;No;Ingeniero;25;Medio;3;61842;1.17;30;1;381;3.0;1
M;Si;58;Si;Ejecutivo;25;Bajo;1;68816;1.678;50;0;435;1.0;1
M;Si;31;No;Ejecutivo;5;Alto;5;25160;1.675;30;0;423;3.0;0
M;Si;56;Si;Otros;25;Medio;4;72571;1.756;80;0;486;3.0;3
F;No;31;Si;Funcionario;5;Bajo;1;30736;1.997;30;0;453;3.0;0
M;Si;62;Si;Funcionario;25;Alto;3;127552;0.876;80;0;555;4.0;3
F;No;36;Si;Artista;15;Bajo;2;23674;1.077;30;0;574;4.0;0
F;No;35;Si;Negocios/empresa;15;Bajo;6;27199;0.686;30;0;355;0.5;2
M;Si;40;Si;Artista;15;Medio;2;128483;1.353;50;0;589;4.0;3
F;Si;69;Si;Artista;25;Medio;4;50520;1.111;30;0;461;3.0;3
F;No;29;Si;Ingeniero;5;Bajo;8;29359;2.202;30;0;478;3.0;0
F;Si;51;Si;Artista;25;Alto;3;118287;0.876;80;1;387;3.0;1
F;Si;44;Si;Ingeniero;25;Medio;4;117379;2.043;30;1;301;0.5;1
M;No;43;Si;Otros;25;Bajo;2;73989;0.962;50;0;521;4.0;3
M;Si;57;Si;Negocios/empresa;25;Bajo;3;31335;1.15;30;0;385;3.0;3
F;Si;50;Si;Construccion;25;Bajo;1;88141;1.443;50;0;382;1.0;1
F;Si;44;No;Ingeniero;25;Bajo;2;89019;0.801;120;0;422;3.0;4
M;No;46;Si;Negocios/empresa;25;Bajo;1;35893;1.287;50;0;587;1.0;3
M;No;21;No;Funcionario;5;Bajo;1;15948;3.099;30;1;355;0.5;2
M;Si;39;Si;Construccion;15;Medio;4;28298;1.859;30;0;374;3.0;0
F;No;43;No;Funcionario;25;Bajo;3;110113;1.33;30;0;503;4.0;3
M;No;31;Si;Funcionario;5;Bajo;5;28508;1.192;30;0;567;4.0;0
F;Si;40;Si;Construccion;15;Medio;2;98355;1.79;50;0;358;0.5;1
M;Si;45;No;Ejecutivo;25;Bajo;3;34471;0.939;30;1;396;3.0;1
F;No;43;Si;Ingeniero;25;Bajo;1;41730;0.939;50;0;306;0.5;1
M;Si;81;Si;Servicios;25;Bajo;1;87657;1.326;50;0;572;1.0;3
F;No;25;No;Funcionario;5;Bajo;3;26776;1.305;30;1;393;3.0;2
M;No;28;No;Funcionario;5;Bajo;5;29573;12.015;30;0;567;4.0;0
F;Si;47;No;Artista;25;Bajo;1;87891;11.305;120;0;510;4.0;4
F;Si;62;Si;Artista;25;Bajo;1;73612;1.424;50;0;354;0.5;1
F;Si;46;Si;Ingeniero;25;Alto;3;24366;0.681;30;1;354;0.5;1
M;No;29;Si;Funcionario;5;Bajo;1;18851;2.099;30;0;379;3.0;0
F;Si;43;Si;Artista;25;Bajo;1;98162;0.985;50;0;544;4.0;3
F;No;51;Si;Ingeniero;25;Bajo;2;93990;0.642;50;0;475;3.0;3
F;Si;44;Si;Artista;25;Alto;3;74590;0.801;30;0;338;0.5;1
F;Si;86;No;Servicios;25;Alto;2;98053;0.935;120;0;459;3.0;4
M;Si;30;No;Otros;5;Bajo;4;21662;1.468;30;0;343;0.5;2
M;No;28;Si;Funcionario;5;Bajo;4;29241;3.065;30;0;337;0.5;2
M;Si;63;No;Ejecutivo;25;Bajo;2;37554;1.385;30;0;361;0.5;1
M;No;20;No;Funcionario;5;Bajo;1;17553;2.685;30;0;569;4.0;0
F;Si;76;Si;Artista;25;Bajo;2;99515;1.209;50;0;561;4.0;3
F;Si;40;Si;Otros;15;Medio;2;88712;1.468;50;1;334;0.5;1
M;No;21;No;Funcionario;5;Bajo;3;12534;2.582;30;0;590;4.0;0
F;Si;44;Si;Artista;25;Bajo;2;46695;0.755;50;1;372;3.0;1
F;No;22;No;Ingeniero;5;Bajo;5;22161;3.03;30;0;522;4.0;0
F;No;46;Si;Construccion;25;Bajo;1;81921;1.658;50;0;402;1.0;1
M;Si;33;Si;Otros;15;Medio;3;24383;1.836;30;1;304;0.5;2
F;Si;28;No;Ingeniero;5;Medio;2;20100;2.927;30;0;325;0.5;2
M;Si;53;No;Ejecutivo;25;Medio;4;75423;1.072;30;0;469;3.0;3
F;Si;57;Si;Artista;25;Bajo;3;57040;0.583;80;1;385;3.0;1
M;Si;39;Si;Artista;15;Medio;2;28757;0.755;30;0;554;4.0;0
M;Si;54;No;Artista;25;Bajo;1;125488;1.463;120;0;593;4.0;4
M;Si;79;No;Ejecutivo;25;Alto;7;109506;0.935;30;0;573;4.0;3
M;No;29;No;Funcionario;5;Bajo;1;22269;2.409;30;0;586;4.0;0
M;Si;61;Si;Otros;25;Medio;4;56741;1.052;80;0;315;0.5;1
M;Si;57;Si;Artista;25;Medio;3;70242;1.404;80;1;332;0.5;1
M;;24;No;Funcionario;5;Alto;6;19106;1.719;30;0;509;4.0;0
F;Si;56;Si;Negocios/empresa;25;Medio;1;96884;0.876;50;0;476;3.0;3
M;No;30;No;Otros;5;Bajo;3;25093;0.847;30;1;316;0.5;2
M;Si;55;Si;Medico;25;Medio;3;122004;1.6;80;0;400;3.0;3
F;No;44;Si;Artista;25;Bajo;1;115687;1.307;50;0;492;1.0;3
M;Si;77;No;Otros;25;Bajo;1;98142;1.346;120;0;370;3.0;4
M;No;35;Si;Otros;15;Bajo;1;26717;1.974;30;1;346;0.5;2
F;No;80;Si;Servicios;25;Bajo;1;76936;1.326;50;0;585;1.0;3
M;No;21;No;Ingeniero;5;Bajo;5;17157;2.823;30;1;324;0.5;2
M;Si;77;No;Artista;25;Medio;2;75300;1.248;120;0;516;4.0;4
M;Si;36;Si;Medico;15;Medio;2;29990;1.077;30;0;363;0.5;2
F;Si;54;Si;Artista;25;Medio;5;37661;0.583;30;0;417;3.0;3
F;Si;98;Si;Servicios;25;Alto;3;48081;0.837;30;0;446;3.0;3
F;Si;39;Si;Ingeniero;15;Bajo;2;31561;1.399;30;0;329;0.5;2
F;;43;Si;Medico;25;Bajo;1;99133;1.997;50;0;447;1.0;3
M;Si;52;Si;Artista;25;Medio;2;51723;1.228;50;0;479;3.0;3
M;Si;50;Si;Ingeniero;25;Medio;5;79146;0.603;30;1;323;0.5;1
M;No;22;No;Funcionario;5;Bajo;1;13917;1.65;30;0;482;3.0;0
F;No;34;Si;Artista;15;Bajo;1;19678;1.721;30;0;423;3.0;0
M;Si;56;Si;Otros;25;Alto;5;95658;1.306;30;0;343;0.5;1
F;No;33;Si;Medico;15;Bajo;5;25612;0.755;30;0;462;3.0;0
M;Si;52;No;Artista;25;Bajo;2;44669;11.305;30;0;456;3.0;3
M;No;36;No;Funcionario;15;Bajo;2;24281;1.744;30;0;320;0.5;2
M;Si;34;No;Ejecutivo;15;Medio;2;23027;1.905;30;0;488;3.0;0
M;Si;52;Si;Artista;25;Medio;3;122810;1.365;80;0;576;4.0;3
M;Si;34;Si;Otros;15;Medio;2;30366;0.847;30;0;422;3.0;0
M;No;33;No;Medico;15;Bajo;5;27706;1.169;30;0;512;4.0;0
F;No;35;Si;Negocios/empresa;15;Bajo;3;31551;1.951;30;0;382;3.0;0
F;Si;41;No;Ingeniero;15;Alto;2;96857;0.778;120;0;429;3.0;4
M;Si;72;No;Ejecutivo;25;Alto;2;96387;0.876;120;0;410;3.0;4
F;;42;Si;Ejecutivo;25;Alto;1;118383;1.813;50;0;444;1.0;3
F;No;23;No;Funcionario;5;Bajo;5;22771;2.133;30;0;429;3.0;0
M;No;23;No;Funcionario;5;Bajo;5;16918;2.823;30;0;594;4.0;0
F;Si;83;Si;Servicios;25;Alto;2;55817;0.818;50;1;302;0.5;1
F;No;39;Si;Funcionario;15;Bajo;1;28694;1.836;30;1;348;0.5;2
M;Si;79;Si;Artista;25;Medio;2;37928;0.74;50;1;302;0.5;1
M;Si;75;Si;Artista;25;Bajo;1;65285;1.619;50;0;384;1.0;1
M;No;24;No;Funcionario;5;Bajo;5;17854;1.098;30;0;395;3.0;0
M;Si;52;No;Otros;25;Bajo;2;72737;1.091;30;0;435;3.0;3
M;Si;58;Si;Artista;25;Bajo;1;35941;1.404;50;0;333;0.5;1
M;Si;69;;Servicios;25;Medio;2;56118;1.6;30;0;404;3.0;3
M;Si;42;Si;Otros;25;Bajo;2;52880;0.732;50;0;519;4.0;3
M;No;41;Si;Medico;15;Bajo;1;74522;1.238;50;0;396;1.0;1
F;Si;53;Si;Otros;25;Medio;4;126324;0.603;80;0;398;3.0;3
M;Si;75;No;Ejecutivo;25;Alto;2;41520;1.424;30;0;351;0.5;1
M;No;30;No;Funcionario;5;Bajo;4;31792;1.445;30;0;400;3.0;0
F;No;44;Si;Artista;25;Bajo;4;104583;2.043;30;0;472;1.0;3
M;Si;51;Si;Otros;25;Bajo;1;126620;1.678;50;1;314;0.5;1
F;No;46;Si;Artista;25;Bajo;1;103971;0.798;50;0;364;0.5;1
M;Si;47;Si;Ingeniero;25;Alto;2;92837;1.658;50;0;399;1.0;1
M;No;35;No;Medico;15;Bajo;4;25216;1.675;30;1;398;3.0;2
M;No;44;Si;Artista;25;Bajo;2;112619;0.778;50;0;448;3.0;3
F;No;42;Si;Negocios/empresa;25;Bajo;4;101840;2.043;30;0;469;1.0;3
M;Si;39;Si;Artista;15;Bajo;3;25123;1.928;30;0;396;1.0;2
F;No;57;Si;Artista;25;Bajo;1;103072;1.209;50;0;510;4.0;3
F;No;29;Si;Funcionario;5;Bajo;5;23518;12.705;30;0;540;4.0;0
F;No;31;Si;Artista;5;Bajo;4;31603;1.928;30;0;547;4.0;0
F;Si;28;No;Otros;5;Bajo;2;26576;1.926;30;0;582;4.0;0
F;Si;39;Si;Artista;15;Medio;2;30301;0.939;30;0;503;4.0;0
M;Si;62;Si;Medico;25;Bajo;1;51881;0.622;50;0;519;4.0;3
